URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.kl.dk/term/ValueSet/KLFollowUpCodesFSIII,2.3.0,active,,KLFollowUpCodesFSIII,KLOpfølgningKoderFSIII,"Follow-up codes used in FSIII","ValueSet/KLFollowUpCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLGeneralInformationFSIII,2.3.0,active,,KLGeneralInformationFSIII,KLGenerelInformationFSIII,"Generel information codes (observations) as defined by FSIII","ValueSet/KLInformationCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLGoalTypeCodes,2.3.0,active,,KLGoalTypeCodes,KLMålKategoriKoder,"Codes used to distinguish different kinds of goals",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLHomeCareAreasFSIII,2.3.0,active,,KLHomeCareAreasFSIII,KLHjemmeplejeOmråderFSIII,"Observation codes for the five home care areas as defined by FSIII","ValueSet/KLInformationCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLHomeCareInterventionsFSIII,2.3.0,active,,KLHomeCareInterventionsFSIII,KLHjemmeplejeIndsatserFSIII,"Home Care Interventions as described by FSIII","ValueSet/KLInterventions,ValueSet/KLInterventionsFSIII","Internal"
http://fhir.kl.dk/term/ValueSet/KLImportanceLevelCodesFSIII,2.3.0,active,,KLImportanceLevelCodesFSIII,KLBetydningKoderFSIII,"Importance level codes (Betydning), as evaluated by the citizen","ValueSet/KLCitizenObservationResultCodesFSIII","Internal"
http://fhir.kl.dk/term/ValueSet/KLInformationCodes,2.3.0,active,,KLInformationCodes,KLOplysningKoder,"Information codes from FSIII and FFB (Område, Tema, Generelle oplysninger)","ValueSet/KLInformationGatheringInvestigationCodes",
http://fhir.kl.dk/term/ValueSet/KLInformationGatheringInvestigationCodes,2.3.0,active,,KLInformationGatheringInvestigationCodes,KLOplysningsaktivitetsOgVurderingskoder,"Codes that identify valid items in an investigation in Danish municipalities",,
http://fhir.kl.dk/term/ValueSet/KLInformationGatheringTypeCodes,2.3.0,active,,KLInformationGatheringTypeCodes,KLOplysningsaktivitetsTypeKoder,"Codes used to specify which kind of information gathering is conducted",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLInterventions,2.3.0,active,,KLInterventions,KLIndsatser,"Interventions as described by FSIII and FFB",,
http://fhir.kl.dk/term/ValueSet/KLInterventionsFFB,2.3.0,active,,KLInterventionsFFB,KLYdelserFFB,"social interventions (ydelser) as defined by FFB","ValueSet/KLInterventions","Internal"
http://fhir.kl.dk/term/ValueSet/KLInterventionsFSIII,2.3.0,active,,KLInterventionsFSIII,KLIndsatserFSIII,"Interventions as described by FSIII",,
http://fhir.kl.dk/term/ValueSet/KLMatterOfInterestInformerFFB,2.3.0,active,,KLMatterOfInterestInformerFFB,KLKildeTilOplysningFFB,"Codes that identify who's perspective the matter-of-interest is comming from",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLMatterOfInterestValues,2.3.0,active,,KLMatterOfInterestValues,KLIngenOplysningerKoder,"Matter of interest values to support when no observations have been made",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLNeedsAssessmentCodesFFB,2.3.0,active,,KLNeedsAssessmentCodesFFB,KLStøttebehovsvurderingskoderFFB,"Needs assesment codes as defined in FFB",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLNursingAreasFSIII,2.3.0,active,,KLNursingAreasFSIII,KLSygeplejeOmråderFSIII,"Observation codes for the 12 nursing areas as defined by FSIII","ValueSet/KLInformationCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLNursingInterventionsFSIII,2.3.0,active,,KLNursingInterventionsFSIII,KLSygeplejeIndsatserFSIII,"Nursing interventions as described by FSIII","ValueSet/KLInterventions,ValueSet/KLInterventionsFSIII","Internal"
http://fhir.kl.dk/term/ValueSet/KLObservationCodes,2.3.0,active,,KLObservationCodes,KLObservationskoder,"SNOMED CT and NPU codes used in Danish municipalities","ValueSet/KLTargetMeasureCodes","SCT,Internal"
http://fhir.kl.dk/term/ValueSet/KLPerformanceLevelCodesFSIII,2.3.0,active,,KLPerformanceLevelCodesFSIII,KLUdførelsesKoderFSIII,"Performance level codes (Udførelse), as evaluated by the citizen","ValueSet/KLCitizenObservationResultCodesFSIII","Internal"
http://fhir.kl.dk/term/ValueSet/KLPreventionAreasFSIII,2.3.0,active,,KLPreventionAreasFSIII,KLForebyggelseOmråderFSIII,"Prevention areas (observation codes), used for documentation within prevention and health promotion","ValueSet/KLInformationCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLPreventionInterventionsFSIII,2.3.0,active,,KLPreventionInterventionsFSIII,KLForebyggelseIndsatserFSIII,"Prevention and health promotion interventions as defined by FSIII","ValueSet/KLInterventions,ValueSet/KLInterventionsFSIII","Internal"
http://fhir.kl.dk/term/ValueSet/KLRequestFromFSIII,2.3.0,active,,KLRequestFromFSIII,KLHenvendelseHenvisningFraFSIII,"Type of service requesters as defined by FSIII",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLServiceCodesFFB,2.3.0,active,,KLServiceCodesFFB,KLTilbudsKoderFFB,"Social service (tilbud) as defined by FFB",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLServicesTypes,2.3.0,active,,KLServicesTypes,KLServiceTyper,"Types of services that the Danish municipalities provide which is covered by FSIII and FFB",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLSeverities,2.3.0,active,,KLSeverities,KLSværhedgrader,"Severities related to conditions",,
http://fhir.kl.dk/term/ValueSet/KLSeveritiesFFB,2.3.0,active,,KLSeveritiesFFB,KLFunktionsevneniveauFFB,"Severities related to conditions in FFB (funktionsevneniveau)","ValueSet/KLSeverities","Internal"
http://fhir.kl.dk/term/ValueSet/KLSeveritiesFSIII,2.3.0,active,,KLSeveritiesFSIII,KLFunktionsevneniveauFSIII,"Severities related to conditions in FSIII home care (funktionsniveau)","ValueSet/KLSeverities","Internal"
http://fhir.kl.dk/term/ValueSet/KLTargetGroupsFFB,2.3.0,active,,KLTargetGroupsFFB,KLMålgrupperFFB,"Target groups as defined by FFB","ValueSet/KLConditionsAndTargetGroupsFFB","Internal"
http://fhir.kl.dk/term/ValueSet/KLTargetMeasureCodes,2.3.0,active,,KLTargetMeasureCodes,KLTypeAfObservationPåMål,"Target measure code, that determines whether the target is expressed as a severity, change value or using another observation",,"Internal"
http://fhir.kl.dk/term/ValueSet/KLThemesFFB,2.3.0,active,,KLThemesFFB,KLTemaerFFB,"FFB Themes","ValueSet/KLInformationCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLTheraphyAreasFSIII,2.3.0,active,,KLTheraphyAreasFSIII,KLTræningOmråderFSIII,"Theraphy areas (observation codes), used for documentation within physical training, physiotheraphy and occupational theraphy in Danish Municipalities as defined by FSIII","ValueSet/KLInformationCodes","Internal"
http://fhir.kl.dk/term/ValueSet/KLTrainingInterventionsFSIII,2.3.0,active,,KLTrainingInterventionsFSIII,KLTræningIndsatserFSIII,"Training interventions as defined by FSIII","ValueSet/KLInterventions,ValueSet/KLInterventionsFSIII","Internal"
