URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.kl.dk/term/CodeSystem/CareSocialCodes,2.3.0,active,,CareSocialCodes,CareSocialCodes,"Administrative/technical codes in Local Govenment Denmark (KL), associated with common use cases across areas or kl-core",
http://fhir.kl.dk/term/CodeSystem/FBOE,2.3.0,active,,FBOE,FBOE,"Concepts used for standardizing documentation for Danish postpartum nursing/childrens health promotion program in schools (Da: Sundhedsplejen). The concepts are utilized in the National Database for Children and Youth (LDBU).",
http://fhir.kl.dk/term/CodeSystem/KLCommonproprietary,2.3.0,active,,KLCommonproprietary,KLLokaleKoder,"Proprietary codes associated with KLCommonCareSocial, partial list, ID's likely to change.",
http://fhir.kl.dk/term/CodeSystem/LTT,2.3.0,active,,LTT,LTT,"Concepts used for standardizing documentation for Danish children/teenagers with mental challenges whom are helped in readily available treatment offers in the Danish municipalities.",
urn:oid:1.2.208.176.2.1,2.3.0,active,"1.2.208.176.2.1",NPU,NPU,"NPUcodes used in Danish municipalities",
urn:oid:1.2.208.176.2.21,2.3.0,active,"1.2.208.176.2.21",FSIII,FSIII,"Codes from FSIII",
urn:oid:1.2.208.176.2.22,2.3.0,active,"1.2.208.176.2.22",FFB,FFB,"Codes from FFB",
