Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.ltt.json	9743	-	0	0	0	0	0	0	25	236	0	0	0	0	0	0	0	1	0	0	200	426	0	1	0	7	0	5
fsh-generated/resources/Bundle-DeliveryReport-Josefine-1.json	3428	56	66	0	1	0	0	0	2	5180	0	0	0	0	0	0	0	0	0	0	63	162	0	0	1	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-2.json	3794	49	25	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	62	149	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-3.json	3793	64	24	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	65	155	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-4.json	6147	51	28	0	0	0	0	0	2	20	0	0	0	0	0	0	0	1	0	0	85	166	0	0	0	0	0	1
fsh-generated/resources/Bundle-DeliveryReport-Josefine-5-6-7.json	4987	50	27	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	73	148	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-8.json	4122	54	24	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	62	150	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-9.json	4155	52	23	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	60	126	0	0	0	0	0	0
fsh-generated/resources/Bundle-RapportOmJosefine.json	5813	66	24	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	74	134	0	0	0	0	0	1
fsh-generated/resources/Bundle-TestIncrementalDelivery.json	7417	54	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	45	145	0	0	0	0	0	0
fsh-generated/resources/CarePlan-Forloeb.json	1296	46	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	37	104	0	0	0	0	0	0
fsh-generated/resources/CarePlan-Henvisning.json	755	46	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	114	0	0	0	0	0	0
fsh-generated/resources/Encounter-Behandlingskontakt.json	1589	45	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	103	0	0	0	0	0	0
fsh-generated/resources/Patient-Josefine.json	470	49	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	31	77	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-care-plan.json	9574	59	0	307	1	0	2	0	1	203	0	0	1	0	0	0	0	4	0	0	1350	5024	0	0	0	34	1	8
fsh-generated/resources/StructureDefinition-klgateway-ltt-citizen.json	4009	47	0	199	0	0	0	0	0	95	0	0	1	0	0	0	0	2	0	0	912	1679	0	0	0	29	0	4
fsh-generated/resources/StructureDefinition-klgateway-ltt-delivery-report.json	3637	47	0	440	1	0	0	1	0	116	0	0	0	0	0	0	0	1	0	0	802	2128	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-encounter-based-on-care-plan.json	1693	47	0	48	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	132	684	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-encounter-delivery-type.json	1425	48	0	47	1	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	106	678	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-encounter.json	7864	47	0	84	0	0	0	0	1	116	0	0	0	0	0	0	0	2	0	0	1278	1758	0	0	0	33	0	2
fsh-generated/resources/StructureDefinition-klgateway-ltt-incremental-delivery.json	1975	46	0	127	0	0	0	0	0	72	0	0	0	0	0	0	0	1	0	0	476	2026	0	0	0	13	1	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-referral.json	8168	47	0	79	1	0	0	0	0	102	0	0	1	0	0	0	0	2	0	0	1000	1498	0	0	0	44	0	2
fsh-generated/resources/ValueSet-fkgateway-ltt-care-plan-activity-types.json	694	44	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	40	1472	0	0	0	2	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-encounter-types.json	1208	45	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	55	327	0	0	0	2	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-focus-area.json	645	43	0	0	1	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	41	318	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-type-of-delivery.json	736	45	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	44	259	0	0	0	2	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-type-of-participants.json	644	44	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	34	223	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-type-of-referral.json	638	44	0	0	1	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	32	247	0	0	0	1	0	0
\fsh-generated\includes\fsh-link-references.md	1791	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1118	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\example.md	4074	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\index.md	5965	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\StructureDefinition-klgateway-ltt-care-plan-intro.md	2913	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\StructureDefinition-klgateway-ltt-citizen-intro.md	1522	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
